firstname,lastname,gender
Kwame,Adzaho,1
Mansan,Agbodeka,0
Gaston,Morquette,1
Akosua,Gbikpi,0
Kwaku,Tetteh,1
Laure,Ayite,0
Quenotte,Akakpo,0
Raymond,Ocloo,1
Ximena,Akakpo,0
Philippe,Koffi,1
Florence,Attipoe,0
Isabelle,Djondo,0
Abena,Ofori,0
Xaviera,Anani,0
Komla,Diawara,1
Katia,Amekudzi,0
Quintina,Attipoe,0
Ulysse,Anani,1
Rachelle,Nayo,0
Gifty,Diawara,0
Odile,Nkrumah,0
Ilétou,Bakari,0
Akua,Agbozo,0
Irene,Agbeko,0
Abiré,Ayigbe,0
Komi,Morquette,1
Tania,Alassani,0
Hilaire,Amegashie,1
Ursula,Nkrumah,0
Quintine,Ahove,0
David,Awuku,1
Fatoumata,Ahove,0
Pierrette,Anani,0
Yvette,Asamoah,0
Ursule,Dzokoto,0
Yaa,Anani,0
Xaviera,Agbozo,0
Karine,Diawara,0
Azhar,Ocloo,1
Xavier,Dossou,1
Xenia,Agbozo,0
Kwadwo,Bakari,1
Cecile,Togbe,0
Julien,Djondo,1
Adjoua,Alassani,1
Isidore,Moussa,1
Michel,Agbozo,1
Kwesi,Bakari,1
Awura,Ayite,0
François,Ofori,1
Nicolas,Diawara,1
Xaviera,Djondo,0
Komivi,Nayo,1
Queen,Abliza,0
Sarah,Anani,0
Mawuli,Anani,1
Folly,Dossou,1
Kafui,Agbeko,0
Fiosron,Azamati,0
Abiré,Alassani,0
Lise,Azamati,0
Ursula,Amegashie,0
Florence,Ayigbe,0
Thierry,Adzaho,1
Essowaza,Adzaho,1
Gaston,Awuku,1
Mansan,Akakpo,0
Sophie,Amegashie,0
Ilétou,Attipoe,0
Efua,Akoto,0
Didi,Avoseh,1
Yves,Dzokoto,1
Georges,Agbodeka,1
Ekoue,Amevor,1
Romain,Attipoe,1
Cecile,Asamoah,0
Olivier,Tetteh,1
Jeanne,Dzokoto,0
Perrine,Agbobli,0
Innocent,Gbedemah,1
Kofi,Dogbe,1
Innocent,Nyaku,1
Romain,Nayo,1
Yvette,Akoto,0
Katherine,Gnama,0
Yves,Agbobli,1
Sébastien,Awuku,1
Méyébinesso,Agbeko,1
Folly,Amevor,1
Marcel,Amekudzi,1
Cecile,Tetteh,0
Boevi,Atsu,1
Gaston,Agbodeka,1
Simone,Agbeko,0
Amouzou,Ayite,1
Simone,Dzokoto,0
Anani,Akoto,1
Viviane,Alassani,0
Kossiwa,Nkrumah,0
Innocent,Obodai,1
Remi,Diawara,1
Xenia,Awuku,0
Ezechiel,Anani,1
Ulysse,Diabre,1
Kossiwa,Dossou,0
Karine,Avoseh,0
Isabelle,Attipoe,0
Jeanne,Amevor,0
Pascal,Agbozo,1
Roxane,Ocloo,0
Florence,Alassani,0
Roxane,Soglo,0
Michel,Alassani,1
Quintina,Anani,0
Marcel,Nayo,1
Estelle,Awuku,0
Amouzou,Agbodeka,1
Akowé,Anani,1
Ophelie,Djondo,0
Kwame,Alassani,1
Ayouba,Bangoura,1
Perrine,Nkrumah,0
Hortense,Akakpo,0
Georges,Obodai,1
Eloise,Takyi,0
Martine,Bangoura,0
Eloise,Nkrumah,0
Kodjo,Gbedemah,1
Mireille,Ofori,0
Afi,Abliza,0
David,Diabre,1
Didi,Awuku,1
Patience,Akakpo-Doe,0
Liliane,Takyi,0
Dela,Alassani,1
Danielle,Ahove,0
Kodjovi,Hounnou,1
Afi,Asamoah,0
Martine,Agbozo,0
Tania,Nayo,0
Xavier,Awuku,1
Yaa,Agbozo,0
Clement,Amegashie,1
Zelda,Agbozo,0
Vincent,Ocloo,1
Médar,Hounnou,1
Zinsou,Azamati,1
Kossi,Adzaho,1
Médar,Ofori,1
Nadine,Morquette,0
Beatrice,Nyavor,0
Patience,Djondo,0
Kodjo,Avoseh,1
Catherine,Atsu,0
Hubert,Ahove,1
Yves,Koffi,1
Akowé,Koffi,1
Yao,Dossou,1
Nadine,Alassani,0
Remi,Moussa,1
Kafui,Dossou,0
Médar,Dossou,1
Ilétou,Akoto,0
Komivi,Foli,1
Rebecca,Ofori,0
Zinsou,Agbodeka,1
Remi,Amouzou,1
Amenyo,Adzaho,0
Luc,Hounnou,1
Pascale,Ahove,0
Ursula,Agbodeka,0
Togbe,Bangoura,1
Xaviera,Amouzou,0
Sabrina,Akoto,0
François,Akoto,1
Wenceslas,Takyi,1
François,Bangoura,1
Mireille,Djondo,0
Cecile,Ocloo,0
Clement,Gbikpi,1
Dela,Agbozo,1
Alain,Akakpo,1
Jacqueline,Agbodeka,0
Nadine,Sokpor,0
Samira,Bakari,0
Vera,Dzokoto,0
Tania,Ahove,0
Serge,Nayo,1
Ursula,Koffi,0
Fiifi,Azamati,1
Kwame,Akakpo,1
Quintine,Ayite,0
Karine,Ayigbe,0
Koku,Anani,1
Joelle,Akakpo,0
Rosalie,Attipoe,0
Koffi-Doe,Amekudzi,1
Michel,Tetteh,1
Juliette,Bakari,0
Raoul,Ocloo,1
Isidore,Akakpo,1
Kodjo,Diabre,1
Denis,Dossou,1
Folly,Dzokoto,1
Giselle,Dogbe,0
Helena,Nkrumah,0
Paulin,Ahove,1
Aurelie,Azamati,0
Innocent,Ahove,1
Giselle,Dossou,0
Eloise,Amekudzi,0
Brigitte,Djondo,0
IDRISSOU,Anani,1
Zacharie,Bakari,1
Kodjo,Amekudzi,1
Gaston,Attipoe,1
Katherine,Amekudzi,0
Kokou,Bakari,1
Yawa,Agbodeka,1
Rosalie,Agbobli,0
Sophia,Ayite,0
Komla,Amekudzi,1
Mansan,Koffi,0
Yvette,Dogbe,0
Blandine,Hounnou,0
Philippe,Foli,1
Mawusi,Atsu,0
Dzidzor,Sokpor,0
Benoit,Koffi,1
Emmanuel,Mensah,1
Téléky,Agbeko,1
Thibault,Soglo,1
Médar,Ocloo,1
Martine,Amekudzi,0
Nathalie,Ayite,0
Akowé,Hounnou,1
Abiré,Bangoura,0
Zelda,Asamoah,0
Abiré,Awuku,0
Gifty,Amouzou,0
Fleur,Gnama,0
Gbenga,Asamoah,1
Denis,Diawara,1
Edem,Ayigbe,1
Xenia,Diabre,0
Olympe,Atsu,0
Kokou,Morquette,1
Lydia,Asamoah,0
Adeline,Dogbe,0
Ursula,Agbozo,0
Diane,Morquette,0
Isabelle,Sokpor,0
Dodji,Atsu,1
Fiifi,Akakpo,1
Lise,Gbedemah,0
Sylvain,Foli,1
Willy,Diabre,1
Genevieve,Amegashie,0
Komla,Amouzou,1
Yannick,Togbe,1
Akosua,Amegashie,0
Wenceslas,Gbedemah,1
Thibault,Agbobli,1
Ursule,Takyi,0
Boevi,Amouzou,1
Lydia,Sokpor,0
Folly,Djondo,1
Michel,Amouzou,1
Philippe,Dogbe,1
Yasmine,Alassani,0
Jacques,Nayo,1
Florence,Atsu,0
Elise,Amekudzi,0
Lise,Ayigbe,0
Yves,Amevor,1
Kwame,Ahove,1
Helena,Gbikpi,0
Kouadio,Djondo,1
Essowaza,Awuku,1
Kossi,Amouzou,1
Philippe,Abliza,1
Thierry,Dzokoto,1
Gbenga,Sokpor,1
Boevi,Bangoura,1
Ursula,Foli,0
Yaa,Agbobli,0
Delphine,Nkrumah,0
Queen,Asamoah,0
Abiré,Avoseh,0
Amouzou,Gbikpi,1
Gildas,Amouzou,1
Therese,Ayigbe,0
Kofi,Azamati,1
Viviane,Ayigbe,0
Willy,Anani,1
Patrick,Mensah,1
Ines,Agbeko,0
Sophie,Foli,0
Komi,Avoseh,1
Sylvain,Ocloo,1
Awura,Gnama,0
Samira,Alassani,0
Komi,Agbozo,1
Ursula,Mensah,0
Essonani,Ahove,1
Therese,Akoto,0
Efia,Ayite,0
Pascal,Akakpo,1
Kodjo,Bangoura,1
Lise,Koffi,0
Ursula,Moussa,0
Akosua,Akoto,0
Sarah,Djondo,0
Jean,Ayigbe,1
Luc,Dzokoto,1
Charles,Azamati,1
Médar,Awuku,1
Viviane,Bakari,0
Tatiana,Soglo,0
Jean,Attipoe,1
Jean,Asamoah,1
Joelle,Gbikpi,0
Grace,Dossou,0
Julien,Gbikpi,1
Fatoumata,Dzokoto,0
Thierry,Dogbe,1
Folly,Ayigbe,1
Ayouba,Dossou,1
Georges,Ayite,1
Grace,Akakpo-Doe,0
Adeline,Tetteh,0
Yvette,Bangoura,0
Luc,Dossou,1
Komi,Ayigbe,1
Katia,Avoseh,0
Akossiwa,Akoto,0
Tina,Agbobli,0
Giselle,Asamoah,0
Quenotte,Gbikpi,0
Nicolas,Diabre,1
Jocelyn,Agbozo,1
Roxane,Atsu,0
Kodjovi,Nyaku,1
Helena,Asamoah,0
Zacharie,Anani,1
Yaa,Amevor,0
Koku,Sokpor,1
Luc,Ayigbe,1
Téléky,Gbikpi,1
Helene,Bakari,0
Liliane,Azamati,0
Ilétou,Ayite,0
Benoit,Obodai,1
Jacqueline,Agbobli,0
Hilaire,Avoseh,1
Mensah,Gbedemah,1
Kwame,Akoto,1
Koffi,Amouzou,1
Nathanael,Amegashie,1
Nana,Asamoah,0
Dela,Agbobli,1
Kouadio,Sokpor,1
Méyébinesso,Bangoura,1
Victor,Soglo,1
Jeanne,Alassani,0
Thierry,Morquette,1
Didi,Djondo,1
Yvette,Attipoe,0
Grace,Koffi,0
Paulin,Attipoe,1
Odette,Akakpo,0
Ursula,Dossou,0
Wanda,Attipoe,0
Awura,Anani,0
Mansan,Ayite,0
Téléky,Agbodeka,1
Nicolette,Amevor,0
Aurelie,Avoseh,0
Nicolas,Awuku,1
Katherine,Gbikpi,0
Liliane,Nyaku,0
Sophia,Awuku,0
Sébastien,Ahove,1
Ximena,Koffi,0
Hilaire,Mensah,1
Violette,Anani,0
Quintina,Alassani,0
Adjoua,Ayigbe,1
Paulin,Ocloo,1
Gaston,Nayo,1
Odile,Awuku,0
Odon,Gbedemah,1
Fabrice,Attipoe,1
Odette,Akoto,0
Ekoue,Atsu,1
Koffi,Alassani,1
Komivi,Agbodeka,1
Kwadwo,Akoto,1
Louis,Anani,1
Quintina,Takyi,0
Mawuli,Diawara,1
Pascale,Agbozo,0
Mawusi,Tetteh,0
Akakpo,Akoto,1
Komla,Akoto,1
Efia,Azamati,0
Ulysse,Takyi,1
Kokou,Adzaho,1
Thierry,Djondo,1
Olympe,Obodai,0
Georges,Akoto,1
Fatoumata,Anani,0
Remi,Akoto,1
Akossiwa,Amevor,0
Didi,Nkrumah,1
Helene,Akoto,0
Valerie,Obodai,0
Henri,Dossou,1
Kwadwo,Agbozo,1
Luc,Ayite,1
Kossiwa,Atsu,0
Odon,Attipoe,1
Bèni,Ayite,1
Fiifi,Bakari,1
Jacqueline,Diawara,0
Helene,Akakpo-Doe,0
Irene,Amevor,0
Irene,Dossou,0
Yvette,Soglo,0
Laurent,Alassani,1
Ilétou,Atsu,0
Yannick,Diabre,1
Ayouba,Diawara,1
Joelle,Diawara,0
Martine,Agbodeka,0
Irene,Amekudzi,0
Perrine,Dzokoto,0
Tina,Agbodeka,0
Victor,Amouzou,1
Jeanne,Amegashie,0
Laurent,Foli,1
Isidore,Djondo,1
Wendie,Djondo,0
Pascal,Morquette,1
Patience,Amegashie,0
François,Ayigbe,1
Marcel,Agbozo,1
Mansan,Agbozo,0
Perrine,Takyi,0
Liliane,Nyavor,0
Roxane,Tetteh,0
Adjoa,Attipoe,0
Violette,Dzokoto,0
Ines,Gnama,0
Médar,Takyi,1
Helena,Ayite,0
Koffi,Amevor,1
Isidore,Awuku,1
Abdel-Aziz,Gbikpi,1
Akowé,Ayigbe,1
Kokou,Djondo,1
Fleur,Sokpor,0
Akowé,Ofori,1
Kwesi,Azamati,1
Fabrice,Nyavor,1
Grace,Alassani,0
Benoit,Mensah,1
Folly,Nyavor,1
Ama,Dossou,0
Esso,Ocloo,1
Simone,Azamati,0
Kodjo,Nayo,1
Hugues,Hounnou,1
Pascale,Obodai,0
Winnie,Togbe,0
Marcel,Amegashie,1
Quentin,Hounnou,1
Gbenga,Gbikpi,1
Mawuli,Attipoe,1
Akosua,Amevor,0
Beatrice,Sokpor,0
Zacharie,Alassani,1
Amouzou,Togbe,1
Joelle,Atsu,0
Bernard,Ayite,1
Fleur,Amegashie,0
Anani,Gnama,1
Thierry,Bangoura,1
Koffi,Atsu,1
Ekoue,Alassani,1
Dzidzor,Foli,0
Ursule,Moussa,0
Zinsou,Attipoe,1
Joelle,Soglo,0
Elise,Atsu,0
Afi,Agbozo,0
Ursula,Gbikpi,0
Jocelyn,Anani,1
Mansan,Dzokoto,0
Hubert,Atsu,1
Caleb,Agbobli,1
Adwoa,Dossou,0
Katia,Attipoe,0
Patience,Ahove,0
Simone,Koffi,0
Ines,Amevor,0
Togbe,Azamati,1
Wendy,Azamati,0
François,Obodai,1
Kwame,Agbodeka,1
Willy,Atsu,1
Koku,Nyavor,1
Didi,Abliza,1
Hubert,Agbobli,1
Sylvain,Agbeko,1
Brigitte,Bakari,0
Innocent,Abliza,1
Koffi,Gnama,1
Sébastien,Attipoe,1
Kodjovi,Adzaho,1
Kokou,Ocloo,1
Ursula,Ayite,0
Wanda,Diawara,0
Thibault,Akoto,1
Aurelie,Atsu,0
Joelle,Asamoah,0
Louis,Agbozo,1
Roxane,Akakpo,0
Mazamesso,Avoseh,1
Abdel-Aziz,Akoto,1
Remi,Agbodeka,1
Therese,Awuku,0
Raoul,Dossou,1
Sophie,Asamoah,0
Kwaku,Amevor,1
Aurelie,Agbozo,0
Vera,Asamoah,0
Xavier,Diabre,1
Cecilia,Dossou,0
Elise,Nkrumah,0
Dzidzor,Takyi,0
Zinsou,Abliza,1
Adjoa,Atsu,0
Xaviera,Awuku,0
Viviane,Ofori,0
Wendie,Moussa,0
Esso,Akakpo-Doe,1
Mazamesso,Agbozo,1
Fiifi,Bangoura,1
Alain,Avoseh,1
Sophia,Gbikpi,0
Elise,Dossou,0
Ayouba,Mensah,1
Komivi,Amegashie,1
Quintine,Anani,0
Didi,Ahove,1
Atsuko,Togbe,0
Katherine,Nyavor,0
Brigitte,Amekudzi,0
Katherine,Moussa,0
Jeanne,Avoseh,0
Komi,Tetteh,1
Kodjo,Agbozo,1
Yves,Amouzou,1
Komi,Diawara,1
Pierrette,Avoseh,0
Ines,Bangoura,0
Cecile,Soglo,0
Ditoma,Diabre,1
Nicolette,Koffi,0
Raoul,Amevor,1
Zara,Amevor,0
Komivi,Dossou,1
Ekoue,Awuku,1
Alain,Ahove,1
Catherine,Agbozo,0
Isidore,Dossou,1
Odile,Hounnou,0
Ama,Amouzou,0
Kokouga,Togbe,1
Blandine,Ayigbe,0
Philippe,Amekudzi,1
Nicolette,Asamoah,0
Akowé,Azamati,1
Helena,Attipoe,0
Fabrice,Anani,1
Odile,Diabre,0
Kwaku,Gbikpi,1
Akakpo,Hounnou,1
Kwesi,Diawara,1
Vincent,Soglo,1
Queen,Morquette,0
Akakpo,Atsu,1
Patrick,Akakpo-Doe,1
Ursula,Amouzou,0
Yaa,Akakpo,0
Kodjovi,Agbodeka,1
Nadine,Awuku,0
Karine,Akakpo-Doe,0
Aurelie,Togbe,0
Jacqueline,Moussa,0
Yvette,Djondo,0
Méyébinesso,Hounnou,1
Denis,Ahove,1
Catherine,Gbikpi,0
Boevi,Azamati,1
Gaston,Togbe,1
Nicolas,Atsu,1
Komi,Diabre,1
Helene,Adzaho,0
Kokou,Ayite,1
Ophelie,Amegashie,0
Willy,Agbozo,1
Genevieve,Dossou,0
Helena,Nyaku,0
Kossi,Dzokoto,1
Brigitte,Azamati,0
Laurent,Agbozo,1
Jacqueline,Nyavor,0
Violette,Moussa,0
Abdel-Aziz,Anani,1
Georges,Mensah,1
Irene,Adzaho,0
Kodjo,Akakpo-Doe,1
Liliane,Awuku,0
Alain,Atsu,1
Awura,Akoto,0
Kodjo,Agbeko,1
Olivier,Bangoura,1
Yaa,Nayo,0
Akua,Anani,0
Rachelle,Attipoe,0
Quintina,Azamati,0
Afi,Gbedemah,0
Victor,Amekudzi,1
Ditoma,Bakari,1
Olivier,Azamati,1
Benoit,Morquette,1
Hugues,Ayite,1
Georges,Ahove,1
Komivi,Asamoah,1
Ursula,Nyavor,0
Simone,Morquette,0
Delphine,Azamati,0
Quintine,Djondo,0
Thierry,Diabre,1
Koffi-Doe,Attipoe,1
François,Morquette,1
Laure,Atsu,0
Kwesi,Akakpo,1
Odette,Anani,0
Eloise,Avoseh,0
Adwoa,Alassani,0
Kwame,Agbozo,1
Laurent,Agbobli,1
Wenceslas,Asamoah,1
Fiifi,Amouzou,1
Xavier,Alassani,1
Yvette,Amegashie,0
Quintine,Amouzou,0
Yawa,Awuku,1
Komla,Foli,1
Kokou,Amouzou,1
Beatrice,Dzokoto,0
Simone,Adzaho,0
Ama,Amegashie,0
Giselle,Diawara,0
Kafui,Awuku,0
Willy,Bangoura,1
Efia,Agbobli,0
Wanda,Dossou,0
Perrine,Amevor,0
Pascal,Ahove,1
Juliette,Anani,0
Marie,Nkrumah,0
Delphine,Diabre,0
Rebecca,Dzokoto,0
Ursula,Attipoe,0
Togbe,Bakari,1
Roxane,Gnama,0
Nana,Djondo,0
Xaviera,Diabre,0
Sylvain,Asamoah,1
Ulysse,Gbikpi,1
Olympe,Amevor,0
Tania,Dzokoto,0
Winnie,Ofori,0
Noah,Awuku,1
Folly,Agbodeka,1
Marcel,Avoseh,1
Bernard,Akakpo,1
Wanda,Anani,0
Zoe,Agbodeka,0
Blandine,Atsu,0
Kossi,Awuku,1
Nathanael,Gnama,1
Luc,Adzaho,1
Martine,Koffi,0
Laure,Agbozo,0
Afia,Mensah,0
Odon,Amegashie,1
Sabrina,Asamoah,0
Laure,Ayigbe,0
Koffi-Doe,Diabre,1
Helene,Alassani,0
Tina,Awuku,0
Azhar,Ayite,1
Xaviera,Asamoah,0
Tatiana,Mensah,0
Xavier,Dzokoto,1
LARE,Djondo,1
Kwadwo,Togbe,1
Kokouga,Nyavor,1
Vera,Diawara,0
Akua,Akakpo,0
David,Ayigbe,1
Marcel,Foli,1
Dzidzor,Ocloo,0
Sarah,Adzaho,0
Akossiwa,Azamati,0
Benoit,Akoto,1
Koffi-Doe,Awuku,1
Ama,Bangoura,0
Laurent,Nyavor,1
Ayouba,Amouzou,1
Vera,Amouzou,0
Kossi,Ayigbe,1
Abiré,Bakari,0
Eloise,Agbobli,0
Boevi,Adzaho,1
Afia,Ayite,0
Ulysse,Soglo,1
Tatiana,Amouzou,0
Ditoma,Djondo,1
Yaa,Azamati,0
Bèni,Awuku,1
Nathanael,Asamoah,1
Joelle,Dogbe,0
Remi,Mensah,1
Kofi,Amevor,1
Emmanuel,Djondo,1
Kodjo,Moussa,1
Ursule,Bangoura,0
Estelle,Amouzou,0
Zoe,Morquette,0
Zoe,Amevor,0
Liliane,Anani,0
Akossiwa,Tetteh,0
Gbenga,Dossou,1
Georges,Hounnou,1
Koku,Bangoura,1
Katherine,Alassani,0
Simone,Awuku,0
Raoul,Gbedemah,1
Queen,Ocloo,0
Marcel,Nyavor,1
Isabelle,Awuku,0
Efia,Amouzou,0
Violette,Ayigbe,0
Kokouga,Atsu,1
Kodjo,Azamati,1
Zacharie,Nayo,1
Philippe,Dzokoto,1
Katherine,Attipoe,0
Bassooma,Bakari,1
Adeline,Amegashie,0
Afi,Agbeko,0
Cecilia,Ofori,0
Efia,Awuku,0
Wanda,Sokpor,0
Blandine,Dzokoto,0
Blandine,Sokpor,0
Fatoumata,Dogbe,0
Isidore,Akoto,1
Jean,Bakari,1
Nana,Dzokoto,0
Nicolette,Dossou,0
Kossiwa,Agbozo,0
Diane,Ofori,0
Ama,Sokpor,0
Ama,Atsu,0
Julien,Diabre,1
Méyébinesso,Amouzou,1
Mawusi,Agbozo,0
Tania,Attipoe,0
Folly,Atsu,1
Fabrice,Akoto,1
Nadine,Gnama,0
Koffi,Sokpor,1
Jocelyn,Gbedemah,1
Pascal,Dzokoto,1
Clement,Moussa,1
Efua,Djondo,0
Gaston,Djondo,1
Wenceslas,Tetteh,1
Luc,Asamoah,1
Yasmine,Akoto,0
Didi,Nyavor,1
Rosalie,Agbodeka,0
Folly,Nayo,1
Bassooma,Moussa,1
Tina,Akakpo,0
Katherine,Ayigbe,0
Folly,Amouzou,1
Fabrice,Amekudzi,1
Patience,Dogbe,0
Tatiana,Dzokoto,0
Sébastien,Adzaho,1
Wanda,Tetteh,0
Kossi,Diawara,1
Adjoa,Dossou,0
Komi,Azamati,1
Mireille,Nyavor,0
Sophia,Amegashie,0
Delphine,Alassani,0
Catherine,Adzaho,0
Genevieve,Akakpo,0
Pascale,Ayigbe,0
Yvette,Awuku,0
Laurent,Agbodeka,1
Nicolette,Amekudzi,0
Isidore,Nyavor,1
Sophie,Mensah,0
Catherine,Hounnou,0
Aurelie,Gbedemah,0
Fiifi,Amekudzi,1
Etienne,Agbeko,1
Sarah,Asamoah,0
Jacques,Abliza,1
Togbe,Amekudzi,1
Kokouga,Bakari,1
Emmanuel,Akakpo,1
Didi,Dzokoto,1
Noah,Gbedemah,1
Mireille,Agbodeka,0
Mireille,Nyaku,0
Akua,Amekudzi,0
Efia,Diabre,0
Abdel-Aziz,Ayigbe,1
Zacharie,Tetteh,1
Sophia,Nyavor,0
Yasmine,Agbobli,0
Ekoue,Anani,1
Hubert,Bangoura,1
Innocent,Koffi,1
Ulysse,Diawara,1
Yves,Morquette,1
Yves,Diawara,1
Simone,Atsu,0
Efua,Dogbe,0
Ophelie,Gnama,0
Kwame,Nyaku,1
Dzidzor,Amekudzi,0
Yves,Tetteh,1
Abiré,Dossou,0
Olivier,Akoto,1
Jeanne,Nyaku,0
Hubert,Agbozo,1
Cecile,Ayigbe,0
Fiosron,Hounnou,0
Kokou,Awuku,1
Catherine,Asamoah,0
Katia,Akakpo,0
Hortense,Amouzou,0
Quintine,Diabre,0
Sophia,Dzokoto,0
LARE,Ayite,1
Aurelie,Awuku,0
Kwesi,Agbodeka,1
Yawa,Ofori,1
Emmanuel,Amekudzi,1
Afia,Akakpo,0
Paulin,Diabre,1
Ditoma,Togbe,1
Bernard,Agbozo,1
Simone,Bangoura,0
Georges,Bangoura,1
Aurelie,Takyi,0
Marie,Agbodeka,0
Emmanuel,Ocloo,1
Helene,Atsu,0
Thibault,Takyi,1
Nana,Azamati,0
Cecile,Amouzou,0
Akua,Awuku,0
Kokou,Tetteh,1
Nathalie,Attipoe,0
Katia,Dogbe,0
Hortense,Amegashie,0
Martine,Nayo,0
Jocelyn,Diabre,1
Hubert,Ayigbe,1
Fiifi,Dossou,1
Rebecca,Ayite,0
Julien,Dossou,1
Queen,Dossou,0
Aurelie,Nkrumah,0
Azhar,Hounnou,1
Hortense,Abliza,0
Afia,Dossou,0
Isidore,Avoseh,1
Odette,Attipoe,0
